split_seed,clause_category,model,threshold,missing_precision,missing_recall,missing_f1,missing_auroc,balanced_accuracy,n_test,n_missing_test,n_present_test,val_missing_f1_at_selected_threshold
42,Cap On Liability,TextOnly,0.4699999999999999,0.765625,0.6805555555555556,0.7205882352941176,0.7849702380952381,0.7063492063492063,128,72,56,0.7457627118644068
42,Cap On Liability,TextPlusLayout,0.57,0.8775510204081632,0.5972222222222222,0.7107438016528925,0.8559027777777778,0.7450396825396826,128,72,56,0.8518518518518519
42,Change Of Control,FrequencyPrior,0.05,0.78125,1.0,0.8771929824561403,0.5,0.5,128,100,28,
42,Change Of Control,TextOnly,0.37999999999999995,0.8181818181818182,0.99,0.8959276018099548,0.8271428571428572,0.6021428571428571,128,100,28,0.8688524590163934
42,Change Of Control,TextPlusLayout,0.31999999999999995,0.8303571428571429,0.93,0.8773584905660378,0.8439285714285715,0.6257142857142858,128,100,28,0.8869565217391304
42,Competitive Restriction Exception,FrequencyPrior,0.05,0.8359375,1.0,0.9106382978723404,0.5,0.5,128,107,21,
42,Competitive Restriction Exception,TextOnly,0.24,0.8359375,1.0,0.9106382978723404,0.7463284379172229,0.5,128,107,21,0.8985507246376812
42,Competitive Restriction Exception,TextPlusLayout,0.19,0.8487394957983193,0.9439252336448598,0.8938053097345132,0.719626168224299,0.5433911882510013,128,107,21,0.8939393939393939
42,Covenant Not To Sue,FrequencyPrior,0.05,0.8359375,1.0,0.9106382978723404,0.5,0.5,128,107,21,
42,Covenant Not To Sue,TextOnly,0.3999999999999999,0.8888888888888888,0.9719626168224299,0.9285714285714286,0.7952825990209168,0.6764574988874055,128,107,21,0.9
42,Covenant Not To Sue,TextPlusLayout,0.33999999999999997,0.8918918918918919,0.9252336448598131,0.908256880733945,0.79884290164664,0.6769025367156208,128,107,21,0.8833333333333333
42,Document Name,FrequencyPrior,0.05,0.15625,1.0,0.2702702702702703,0.5,0.5,128,20,108,
42,Document Name,TextOnly,0.62,0.6,0.15,0.24,0.7916666666666667,0.5657407407407408,128,20,108,0.5714285714285714
42,Document Name,TextPlusLayout,0.5399999999999999,0.5217391304347826,0.6,0.5581395348837209,0.876388888888889,0.749074074074074,128,20,108,0.35714285714285715
42,Effective Date,FrequencyPrior,0.05,0.578125,1.0,0.7326732673267327,0.5,0.5,128,74,54,
42,Effective Date,TextOnly,0.05,0.578125,1.0,0.7326732673267327,0.6323823823823824,0.5,128,74,54,0.8421052631578947
42,Effective Date,TextPlusLayout,0.31999999999999995,0.6847826086956522,0.8513513513513513,0.7590361445783133,0.7332332332332332,0.6571571571571572,128,74,54,0.8547008547008547
42,Exclusivity,FrequencyPrior,0.05,0.6171875,1.0,0.7632850241545893,0.5,0.5,128,79,49,
42,Exclusivity,TextOnly,0.43999999999999995,0.6893203883495146,0.8987341772151899,0.7802197802197802,0.7706019116507362,0.622836476362697,128,79,49,0.8723404255319149
42,Exclusivity,TextPlusLayout,0.4499999999999999,0.735632183908046,0.810126582278481,0.7710843373493976,0.7605269956083699,0.6703694135882201,128,79,49,0.8333333333333334
42,Expiration Date,FrequencyPrior,0.05,0.2265625,1.0,0.36942675159235666,0.5,0.5,128,29,99,
42,Expiration Date,TextOnly,0.48999999999999994,0.6086956521739131,0.4827586206896552,0.5384615384615384,0.8321142459073493,0.6959247648902821,128,29,99,0.6428571428571429
